,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Dec 24, 2020",131.32,133.46,131.10,131.97,131.97,54930100
1,"Dec 23, 2020",132.16,132.43,130.78,130.96,130.96,88223700
2,"Dec 22, 2020",131.61,134.41,129.65,131.88,131.88,168904800
3,"Dec 21, 2020",125.02,128.31,123.45,128.23,128.23,121251600
4,"Dec 18, 2020",128.96,129.10,126.12,126.66,126.66,192541500
5,"Dec 17, 2020",128.90,129.58,128.04,128.70,128.70,94359800
6,"Dec 16, 2020",127.41,128.37,126.56,127.81,127.81,98208600
7,"Dec 15, 2020",124.34,127.90,124.13,127.88,127.88,157572300
8,"Dec 14, 2020",122.60,123.35,121.54,121.78,121.78,79184500
9,"Dec 11, 2020",122.43,122.76,120.55,122.41,122.41,86939800
10,"Dec 10, 2020",120.50,123.87,120.15,123.24,123.24,81312200
11,"Dec 09, 2020",124.53,125.95,121.00,121.78,121.78,115089200
12,"Dec 08, 2020",124.37,124.98,123.09,124.38,124.38,82225500
13,"Dec 07, 2020",122.31,124.57,122.25,123.75,123.75,86712000
14,"Dec 04, 2020",122.60,122.86,121.52,122.25,122.25,78260400
15,"Dec 03, 2020",123.52,123.78,122.21,122.94,122.94,78967600
16,"Dec 02, 2020",122.02,123.37,120.89,123.08,123.08,89004200
17,"Dec 01, 2020",121.01,123.47,120.01,122.72,122.72,128166800
18,"Nov 30, 2020",116.97,120.97,116.81,119.05,119.05,169410200
19,"Nov 27, 2020",116.57,117.49,116.22,116.59,116.59,46691300
20,"Nov 25, 2020",115.55,116.75,115.17,116.03,116.03,76499200
21,"Nov 24, 2020",113.91,115.85,112.59,115.17,115.17,113874200
22,"Nov 23, 2020",117.18,117.62,113.75,113.85,113.85,127959300
23,"Nov 20, 2020",118.64,118.77,117.29,117.34,117.34,73604300
24,"Nov 19, 2020",117.59,119.06,116.81,118.64,118.64,74113000
25,"Nov 18, 2020",118.61,119.82,118.00,118.03,118.03,76322100
26,"Nov 17, 2020",119.55,120.67,118.96,119.39,119.39,74271000
27,"Nov 16, 2020",118.92,120.99,118.15,120.30,120.30,91183000
28,"Nov 13, 2020",119.44,119.67,117.87,119.26,119.26,81581900
29,"Nov 12, 2020",119.62,120.53,118.57,119.21,119.21,103162300
30,"Nov 11, 2020",117.19,119.63,116.44,119.49,119.49,112295000
31,"Nov 10, 2020",115.55,117.59,114.13,115.97,115.97,138023400
32,"Nov 09, 2020",120.50,121.99,116.05,116.32,116.32,154515300
33,"Nov 06, 2020",118.32,119.20,116.13,118.69,118.69,114457900
34,"Nov 06, 2020",0.205 Dividend,0.205 Dividend,0.205 Dividend,0.205 Dividend,0.205 Dividend,0.205 Dividend
35,"Nov 05, 2020",117.95,119.62,116.87,119.03,118.82,126387100
36,"Nov 04, 2020",114.14,115.59,112.35,114.95,114.75,138235500
37,"Nov 03, 2020",109.66,111.49,108.73,110.44,110.25,107624400
38,"Nov 02, 2020",109.11,110.68,107.32,108.77,108.58,122866900
39,"Oct 30, 2020",111.06,111.99,107.72,108.86,108.67,190272600
40,"Oct 29, 2020",112.37,116.93,112.20,115.32,115.12,146129200
41,"Oct 28, 2020",115.05,115.43,111.10,111.20,111.01,143937800
42,"Oct 27, 2020",115.49,117.28,114.54,116.60,116.40,92276800
43,"Oct 26, 2020",114.01,116.55,112.88,115.05,114.85,111850700
44,"Oct 23, 2020",116.39,116.55,114.28,115.04,114.84,82572600
45,"Oct 22, 2020",117.45,118.04,114.59,115.75,115.55,101988000
46,"Oct 21, 2020",116.67,118.71,116.45,116.87,116.67,89946000
47,"Oct 20, 2020",116.20,118.98,115.63,117.51,117.31,124423700
48,"Oct 19, 2020",119.96,120.42,115.66,115.98,115.78,120639300
49,"Oct 16, 2020",121.28,121.55,118.81,119.02,118.82,115393800
50,"Oct 15, 2020",118.72,121.20,118.15,120.71,120.50,112559200
51,"Oct 14, 2020",121.00,123.03,119.62,121.19,120.98,151062300
52,"Oct 13, 2020",125.27,125.39,119.65,121.10,120.89,262330500
53,"Oct 12, 2020",120.06,125.18,119.28,124.40,124.19,240226800
54,"Oct 09, 2020",115.28,117.00,114.92,116.97,116.77,100506900
55,"Oct 08, 2020",116.25,116.40,114.59,114.97,114.77,83477200
56,"Oct 07, 2020",114.62,115.55,114.13,115.08,114.88,96849000
57,"Oct 06, 2020",115.70,116.12,112.25,113.16,112.97,161498200
58,"Oct 05, 2020",113.91,116.65,113.55,116.50,116.30,106243800
59,"Oct 02, 2020",112.89,115.37,112.22,113.02,112.83,144712000
60,"Oct 01, 2020",117.64,117.72,115.83,116.79,116.59,116120400
61,"Sep 30, 2020",113.79,117.26,113.62,115.81,115.61,142675200
62,"Sep 29, 2020",114.55,115.31,113.57,114.09,113.89,99382200
63,"Sep 28, 2020",115.01,115.32,112.78,114.96,114.76,137672400
64,"Sep 25, 2020",108.43,112.44,107.67,112.28,112.09,149981400
65,"Sep 24, 2020",105.17,110.25,105.00,108.22,108.03,167743300
66,"Sep 23, 2020",111.62,112.11,106.77,107.12,106.94,150718700
67,"Sep 22, 2020",112.68,112.86,109.16,111.81,111.62,183055400
68,"Sep 21, 2020",104.54,110.19,103.10,110.08,109.89,195713800
69,"Sep 18, 2020",110.40,110.88,106.09,106.84,106.66,287104900
70,"Sep 17, 2020",109.72,112.20,108.71,110.34,110.15,178011000
71,"Sep 16, 2020",115.23,116.00,112.04,112.13,111.94,154679000
72,"Sep 15, 2020",118.33,118.83,113.61,115.54,115.34,184642000
73,"Sep 14, 2020",114.72,115.93,112.80,115.36,115.16,140150100
74,"Sep 11, 2020",114.57,115.23,110.00,112.00,111.81,180860300
75,"Sep 10, 2020",120.36,120.50,112.50,113.49,113.29,182274400
76,"Sep 09, 2020",117.26,119.14,115.26,117.32,117.12,176940500
77,"Sep 08, 2020",113.95,118.99,112.68,112.82,112.63,231366600
78,"Sep 04, 2020",120.07,123.70,110.89,120.96,120.75,332607200
79,"Sep 03, 2020",126.91,128.84,120.50,120.88,120.67,257599600
