,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Dec 24, 2020",3193.90,3202.00,3169.00,3172.69,3172.69,1451900
1,"Dec 23, 2020",3205.00,3210.13,3184.17,3185.27,3185.27,2093800
2,"Dec 22, 2020",3202.84,3222.00,3180.08,3206.52,3206.52,2369400
3,"Dec 21, 2020",3200.01,3226.97,3166.00,3206.18,3206.18,3836800
4,"Dec 18, 2020",3243.99,3249.42,3171.60,3201.65,3201.65,5995700
5,"Dec 17, 2020",3250.00,3263.51,3221.00,3236.08,3236.08,3474300
6,"Dec 16, 2020",3176.01,3247.00,3163.68,3240.96,3240.96,4427600
7,"Dec 15, 2020",3181.01,3188.50,3130.49,3165.12,3165.12,3323700
8,"Dec 14, 2020",3143.00,3190.47,3126.00,3156.97,3156.97,4155800
9,"Dec 11, 2020",3096.66,3118.67,3072.82,3116.42,3116.42,3064700
10,"Dec 10, 2020",3088.99,3142.10,3076.00,3101.49,3101.49,3030200
11,"Dec 09, 2020",3167.89,3174.43,3088.00,3104.20,3104.20,4100800
12,"Dec 08, 2020",3158.90,3184.13,3120.02,3177.29,3177.29,3286300
13,"Dec 07, 2020",3156.48,3180.76,3141.69,3158.00,3158.00,2751300
14,"Dec 04, 2020",3198.21,3198.21,3158.76,3162.58,3162.58,2913600
15,"Dec 03, 2020",3205.46,3228.64,3181.31,3186.73,3186.73,2892000
16,"Dec 02, 2020",3221.65,3232.00,3173.26,3203.53,3203.53,3129300
17,"Dec 01, 2020",3188.50,3248.95,3157.18,3220.08,3220.08,4544400
18,"Nov 30, 2020",3208.48,3228.39,3125.55,3168.04,3168.04,4063900
19,"Nov 27, 2020",3211.26,3216.19,3190.05,3195.34,3195.34,2392900
20,"Nov 25, 2020",3141.87,3198.00,3140.26,3185.07,3185.07,3790400
21,"Nov 24, 2020",3100.50,3134.25,3086.26,3118.06,3118.06,3602100
22,"Nov 23, 2020",3116.70,3139.75,3065.46,3098.39,3098.39,4708900
23,"Nov 20, 2020",3117.02,3132.89,3098.05,3099.40,3099.40,3374400
24,"Nov 19, 2020",3105.31,3125.00,3080.92,3117.02,3117.02,3010300
25,"Nov 18, 2020",3134.00,3140.00,3105.10,3105.46,3105.46,2916800
26,"Nov 17, 2020",3183.54,3189.25,3135.26,3135.66,3135.66,3444700
27,"Nov 16, 2020",3093.20,3142.70,3072.69,3131.06,3131.06,3808700
28,"Nov 13, 2020",3122.00,3141.72,3085.39,3128.81,3128.81,3756200
29,"Nov 12, 2020",3159.95,3175.88,3086.05,3110.28,3110.28,4362000
30,"Nov 11, 2020",3061.78,3139.15,3050.00,3137.39,3137.39,4366900
31,"Nov 10, 2020",3095.02,3114.00,3019.48,3035.02,3035.02,6591000
32,"Nov 09, 2020",3231.03,3289.00,3112.11,3143.74,3143.74,7190400
33,"Nov 06, 2020",3304.64,3322.00,3232.00,3311.37,3311.37,4647300
34,"Nov 05, 2020",3319.97,3366.80,3288.88,3322.00,3322.00,5789300
35,"Nov 04, 2020",3159.99,3244.85,3139.73,3241.16,3241.16,6839000
36,"Nov 03, 2020",3018.53,3074.90,2980.98,3048.41,3048.41,4897900
37,"Nov 02, 2020",3061.74,3079.71,2950.12,3004.48,3004.48,7257400
38,"Oct 30, 2020",3157.75,3167.00,3019.00,3036.15,3036.15,8386400
39,"Oct 29, 2020",3201.27,3257.25,3164.00,3211.01,3211.01,6596500
40,"Oct 28, 2020",3249.30,3264.02,3162.47,3162.78,3162.78,5588300
41,"Oct 27, 2020",3224.94,3291.66,3211.30,3286.33,3286.33,4291000
42,"Oct 26, 2020",3198.74,3282.98,3153.30,3207.04,3207.04,5901200
43,"Oct 23, 2020",3191.00,3205.33,3140.00,3204.40,3204.40,3466700
44,"Oct 22, 2020",3189.87,3198.75,3121.94,3176.40,3176.40,4212000
45,"Oct 21, 2020",3212.50,3233.88,3160.00,3184.94,3184.94,4592700
46,"Oct 20, 2020",3222.28,3266.00,3192.01,3217.01,3217.01,4509700
47,"Oct 19, 2020",3299.61,3329.00,3192.74,3207.21,3207.21,5223600
48,"Oct 16, 2020",3363.23,3399.66,3160.00,3272.71,3272.71,6474400
49,"Oct 15, 2020",3292.01,3355.88,3280.00,3338.65,3338.65,5223400
50,"Oct 14, 2020",3447.00,3464.88,3340.00,3363.71,3363.71,5828900
51,"Oct 13, 2020",3467.99,3492.38,3424.22,3443.63,3443.63,5744700
52,"Oct 12, 2020",3349.94,3496.24,3339.55,3442.93,3442.93,8364200
53,"Oct 09, 2020",3210.00,3288.99,3197.83,3286.65,3286.65,4907900
54,"Oct 08, 2020",3224.99,3233.29,3174.99,3190.55,3190.55,3174100
55,"Oct 07, 2020",3135.00,3200.00,3132.39,3195.69,3195.69,4309400
56,"Oct 06, 2020",3165.00,3182.00,3090.00,3099.96,3099.96,5086900
57,"Oct 05, 2020",3145.84,3202.53,3140.85,3199.20,3199.20,3775300
58,"Oct 02, 2020",3153.63,3195.80,3123.00,3125.00,3125.00,5613100
59,"Oct 01, 2020",3208.00,3224.00,3172.00,3221.26,3221.26,4971900
60,"Sep 30, 2020",3141.14,3212.88,3133.99,3148.73,3148.73,4883400
61,"Sep 29, 2020",3175.39,3188.26,3132.54,3144.88,3144.88,3495800
62,"Sep 28, 2020",3148.85,3175.04,3117.17,3174.05,3174.05,4224200
63,"Sep 25, 2020",3054.86,3101.54,2999.00,3095.13,3095.13,4615200
64,"Sep 24, 2020",2977.79,3069.30,2965.00,3019.79,3019.79,5529400
65,"Sep 23, 2020",3120.43,3127.00,2992.38,2999.86,2999.86,5652700
66,"Sep 22, 2020",3033.84,3133.99,3000.20,3128.99,3128.99,6948800
67,"Sep 21, 2020",2906.50,2962.00,2871.00,2960.47,2960.47,6117900
68,"Sep 18, 2020",3031.74,3037.80,2905.54,2954.91,2954.91,8892600
69,"Sep 17, 2020",3009.25,3029.43,2972.55,3008.73,3008.73,6449100
70,"Sep 16, 2020",3179.99,3187.24,3074.15,3078.10,3078.10,4512200
71,"Sep 15, 2020",3136.16,3175.02,3108.92,3156.13,3156.13,4021500
72,"Sep 14, 2020",3172.94,3187.39,3096.00,3102.97,3102.97,4529600
73,"Sep 11, 2020",3208.69,3217.34,3083.98,3116.22,3116.22,5094000
74,"Sep 10, 2020",3307.22,3349.89,3170.55,3175.11,3175.11,5330700
75,"Sep 09, 2020",3202.99,3303.18,3185.00,3268.61,3268.61,5188700
76,"Sep 08, 2020",3144.00,3250.85,3130.00,3149.84,3149.84,6094200
77,"Sep 04, 2020",3318.00,3381.50,3111.13,3294.62,3294.62,8781800
78,"Sep 03, 2020",3485.00,3488.41,3303.00,3368.00,3368.00,8161100
79,"Sep 02, 2020",3547.00,3552.25,3486.69,3531.45,3531.45,3931500
80,"Sep 01, 2020",3489.58,3513.87,3467.00,3499.12,3499.12,3476400
81,"Aug 31, 2020",3408.99,3495.00,3405.00,3450.96,3450.96,4185900
82,"Aug 28, 2020",3423.00,3433.37,3386.50,3401.80,3401.80,2897000
83,"Aug 27, 2020",3450.05,3453.00,3378.00,3400.00,3400.00,4264800
84,"Aug 26, 2020",3351.11,3451.74,3344.57,3441.85,3441.85,6508700
85,"Aug 25, 2020",3294.99,3357.40,3267.00,3346.49,3346.49,3992800
86,"Aug 24, 2020",3310.15,3380.32,3257.56,3307.46,3307.46,4666300
87,"Aug 21, 2020",3295.00,3314.40,3275.39,3284.72,3284.72,3575900
88,"Aug 20, 2020",3252.00,3312.62,3238.00,3297.37,3297.37,3332500
89,"Aug 19, 2020",3303.01,3315.90,3256.00,3260.48,3260.48,4185100
90,"Aug 18, 2020",3212.00,3320.00,3205.82,3312.49,3312.49,5346000
91,"Aug 17, 2020",3173.12,3194.97,3154.18,3182.41,3182.41,2691200
92,"Aug 14, 2020",3178.18,3178.24,3120.00,3148.02,3148.02,2751700
93,"Aug 13, 2020",3182.99,3217.52,3155.00,3161.02,3161.02,3149000
94,"Aug 12, 2020",3108.00,3174.39,3101.42,3162.24,3162.24,3527200
95,"Aug 11, 2020",3113.20,3159.22,3073.00,3080.67,3080.67,3718100
96,"Aug 10, 2020",3170.31,3172.51,3101.52,3148.16,3148.16,3167300
