,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Dec 24, 2020",268.88,270.40,266.20,267.40,267.40,6702000
1,"Dec 23, 2020",266.89,272.17,266.23,268.11,268.11,14329000
2,"Dec 22, 2020",271.50,271.50,264.63,267.09,267.09,17312900
3,"Dec 21, 2020",272.98,274.67,267.79,272.79,272.79,16553700
4,"Dec 18, 2020",275.77,278.00,271.14,276.40,276.40,26693200
5,"Dec 17, 2020",277.07,280.44,273.61,274.48,274.48,16377800
6,"Dec 16, 2020",274.76,277.86,272.51,275.67,275.67,15885000
7,"Dec 15, 2020",274.83,276.08,267.47,275.55,275.55,23979500
8,"Dec 14, 2020",273.37,277.22,271.56,274.19,274.19,16376900
9,"Dec 11, 2020",274.53,276.48,270.25,273.55,273.55,14391400
10,"Dec 10, 2020",275.54,278.73,271.86,277.12,277.12,20065100
11,"Dec 09, 2020",283.66,287.63,271.75,277.92,277.92,25189700
12,"Dec 08, 2020",286.01,286.43,281.55,283.40,283.40,10747700
13,"Dec 07, 2020",279.19,288.49,278.20,285.58,285.58,13007700
14,"Dec 04, 2020",280.30,283.46,279.30,279.70,279.70,10880300
15,"Dec 03, 2020",286.25,286.65,281.07,281.85,281.85,12921700
16,"Dec 02, 2020",285.36,291.78,280.83,287.52,287.52,17361600
17,"Dec 01, 2020",279.16,289.30,278.96,286.55,286.55,20777900
18,"Nov 30, 2020",276.03,277.70,271.01,276.97,276.97,16693300
19,"Nov 27, 2020",277.39,279.13,274.82,277.81,277.81,7808400
20,"Nov 25, 2020",278.14,280.18,272.65,275.59,275.59,12467000
21,"Nov 24, 2020",268.49,277.82,267.87,276.92,276.92,16930400
22,"Nov 23, 2020",270.89,270.95,264.53,268.43,268.43,20990800
23,"Nov 20, 2020",272.56,273.00,269.41,269.70,269.70,18114700
24,"Nov 19, 2020",271.02,273.47,269.19,272.94,272.94,12963700
25,"Nov 18, 2020",274.52,277.39,271.84,271.97,271.97,12152900
26,"Nov 17, 2020",277.68,277.68,273.29,275.00,275.00,15040300
27,"Nov 16, 2020",275.05,279.41,274.63,278.96,278.96,12970400
28,"Nov 13, 2020",277.72,277.76,273.10,276.95,276.95,10391200
