,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Dec 24, 2020",1729.00,1742.41,1724.35,1734.16,1734.16,465600
1,"Dec 23, 2020",1723.93,1744.11,1721.20,1728.23,1728.23,1148700
2,"Dec 22, 2020",1729.33,1732.61,1705.78,1720.22,1720.22,1018500
3,"Dec 21, 2020",1709.13,1737.00,1694.00,1734.56,1734.56,1698700
4,"Dec 18, 2020",1746.17,1748.36,1715.00,1726.22,1726.22,4262800
5,"Dec 17, 2020",1763.93,1766.71,1731.15,1740.51,1740.51,1744000
6,"Dec 16, 2020",1769.11,1769.11,1749.06,1757.19,1757.19,1233800
7,"Dec 15, 2020",1759.86,1764.00,1741.67,1761.08,1761.08,1068300
8,"Dec 14, 2020",1770.72,1789.80,1749.13,1752.26,1752.26,1652500
9,"Dec 11, 2020",1760.00,1777.31,1752.74,1774.80,1774.80,931400
10,"Dec 10, 2020",1762.60,1774.99,1733.53,1767.65,1767.65,1434400
11,"Dec 09, 2020",1810.36,1828.37,1762.00,1777.86,1777.86,1586400
12,"Dec 08, 2020",1808.52,1815.97,1791.28,1811.33,1811.33,996800
13,"Dec 07, 2020",1815.55,1829.29,1803.04,1817.03,1817.03,1114400
14,"Dec 04, 2020",1820.22,1829.50,1813.59,1823.76,1823.76,1027200
15,"Dec 03, 2020",1820.54,1843.83,1817.00,1821.84,1821.84,1236400
16,"Dec 02, 2020",1795.36,1832.74,1785.17,1824.97,1824.97,1471200
17,"Dec 01, 2020",1766.66,1821.72,1763.03,1795.36,1795.36,1868100
18,"Nov 30, 2020",1775.65,1780.34,1747.84,1754.40,1754.40,1620900
19,"Nov 27, 2020",1764.54,1797.01,1764.54,1787.02,1787.02,739500
20,"Nov 25, 2020",1767.81,1770.38,1748.36,1764.13,1764.13,980000
21,"Nov 24, 2020",1727.50,1766.48,1720.73,1763.90,1763.90,1399200
22,"Nov 23, 2020",1740.22,1745.99,1710.18,1727.56,1727.56,1126500
23,"Nov 20, 2020",1762.00,1768.36,1735.00,1736.38,1736.38,1384700
24,"Nov 19, 2020",1733.23,1763.49,1730.02,1758.57,1758.57,1005300
25,"Nov 18, 2020",1756.64,1765.00,1738.57,1740.64,1740.64,1005400
26,"Nov 17, 2020",1767.86,1777.14,1759.49,1761.66,1761.66,1065700
27,"Nov 16, 2020",1764.14,1794.34,1761.33,1774.03,1774.03,1273400
28,"Nov 13, 2020",1748.00,1777.13,1735.98,1772.26,1772.26,1487200
29,"Nov 12, 2020",1742.00,1764.98,1737.97,1742.82,1742.82,1323700
30,"Nov 11, 2020",1748.40,1762.90,1743.06,1747.23,1747.23,1591900
31,"Nov 10, 2020",1729.77,1759.38,1716.12,1737.72,1737.72,2151100
32,"Nov 09, 2020",1795.98,1816.89,1757.55,1761.42,1761.42,2672000
33,"Nov 06, 2020",1751.34,1768.50,1736.68,1759.73,1759.73,1431100
34,"Nov 05, 2020",1770.45,1791.82,1741.03,1762.50,1762.50,1987900
35,"Nov 04, 2020",1705.58,1770.03,1703.00,1745.85,1745.85,3567100
36,"Nov 03, 2020",1630.76,1659.00,1612.11,1645.66,1645.66,1571600
37,"Nov 02, 2020",1623.54,1658.24,1614.24,1624.32,1624.32,2211400
38,"Oct 30, 2020",1667.44,1681.32,1601.57,1616.11,1616.11,4993900
39,"Oct 29, 2020",1517.02,1588.74,1516.55,1556.88,1556.88,2770300
40,"Oct 28, 2020",1550.01,1553.81,1508.48,1510.80,1510.80,2258700
41,"Oct 27, 2020",1588.93,1602.00,1576.99,1598.88,1598.88,1295100
42,"Oct 26, 2020",1615.00,1629.58,1567.78,1584.29,1584.29,1791300
43,"Oct 23, 2020",1615.05,1634.12,1611.91,1632.98,1632.98,1527400
44,"Oct 22, 2020",1585.00,1613.42,1577.48,1606.66,1606.66,1525600
45,"Oct 21, 2020",1569.85,1615.14,1567.14,1585.99,1585.99,3016100
46,"Oct 20, 2020",1523.11,1573.84,1520.50,1551.08,1551.08,2083500
47,"Oct 19, 2020",1575.93,1583.93,1522.92,1529.95,1529.95,1486700
48,"Oct 16, 2020",1561.83,1577.71,1557.66,1567.70,1567.70,1709700
49,"Oct 15, 2020",1544.50,1571.40,1541.13,1555.47,1555.47,1560500
50,"Oct 14, 2020",1574.60,1583.85,1545.90,1563.44,1563.44,1659200
51,"Oct 13, 2020",1577.01,1585.16,1558.63,1567.07,1567.07,1953600
52,"Oct 12, 2020",1538.00,1588.42,1529.30,1564.59,1564.59,2767200
53,"Oct 09, 2020",1492.86,1511.85,1487.00,1510.45,1510.45,1648300
54,"Oct 08, 2020",1465.45,1488.03,1465.45,1483.43,1483.43,1303800
55,"Oct 07, 2020",1459.31,1468.97,1433.23,1459.14,1459.14,1805400
56,"Oct 06, 2020",1475.50,1484.52,1445.01,1451.02,1451.02,1304800
57,"Oct 05, 2020",1462.65,1484.70,1460.09,1482.83,1482.83,1080100
58,"Oct 02, 2020",1459.63,1479.03,1447.35,1455.60,1455.60,1561100
59,"Oct 01, 2020",1483.66,1495.07,1476.80,1487.90,1487.90,1644200
60,"Sep 30, 2020",1460.94,1486.20,1455.76,1465.60,1465.60,2045400
61,"Sep 29, 2020",1463.91,1472.00,1454.00,1466.02,1466.02,1590800
62,"Sep 28, 2020",1471.99,1472.99,1446.28,1458.66,1458.66,1539200
63,"Sep 25, 2020",1425.05,1445.94,1407.68,1439.06,1439.06,1516300
64,"Sep 24, 2020",1402.68,1437.99,1402.15,1422.86,1422.86,1727600
65,"Sep 23, 2020",1452.09,1453.08,1402.68,1409.39,1409.39,1886300
66,"Sep 22, 2020",1450.32,1463.97,1429.50,1459.82,1459.82,1697500
67,"Sep 21, 2020",1431.62,1440.06,1402.68,1430.14,1430.14,2845400
68,"Sep 18, 2020",1488.30,1495.20,1431.62,1451.09,1451.09,3152800
69,"Sep 17, 2020",1485.81,1498.66,1462.46,1487.04,1487.04,2000400
70,"Sep 16, 2020",1542.48,1554.37,1511.59,1512.09,1512.09,1106400
