,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Dec 24, 2020",125.00,125.10,124.21,124.69,124.69,1761100
1,"Dec 23, 2020",123.88,125.21,123.74,123.90,123.90,2693900
2,"Dec 22, 2020",123.31,124.22,122.41,123.61,123.61,4336100
3,"Dec 21, 2020",123.97,124.18,121.72,123.39,123.39,6115700
4,"Dec 18, 2020",125.59,126.40,124.97,125.85,125.85,7552800
5,"Dec 17, 2020",126.08,126.09,124.91,125.55,125.55,3788000
6,"Dec 16, 2020",125.93,126.57,125.29,125.55,125.55,4530100
7,"Dec 15, 2020",124.39,125.93,123.44,125.93,125.93,4359600
8,"Dec 14, 2020",125.32,126.24,123.47,123.53,123.53,5050000
9,"Dec 11, 2020",124.08,125.51,123.61,124.27,124.27,4481400
10,"Dec 10, 2020",126.35,126.93,124.94,124.96,124.96,4803200
11,"Dec 09, 2020",125.80,127.69,125.70,126.79,126.79,6513500
12,"Dec 08, 2020",125.32,126.33,124.64,125.71,125.71,5395000
13,"Dec 07, 2020",126.49,126.97,124.57,124.70,124.70,8318500
14,"Dec 04, 2020",123.97,127.38,123.64,127.20,127.20,5522800
15,"Dec 03, 2020",124.16,124.86,123.29,123.61,123.61,4548200
16,"Dec 02, 2020",122.85,124.64,122.41,124.62,124.62,3690700
17,"Dec 01, 2020",123.90,125.83,123.08,123.16,123.16,5312100
18,"Nov 30, 2020",124.10,125.00,123.09,123.52,123.52,5988000
19,"Nov 27, 2020",124.20,125.31,123.91,124.35,124.35,2091200
20,"Nov 25, 2020",122.93,124.33,122.11,124.20,124.20,4135900
21,"Nov 24, 2020",120.86,124.73,120.81,124.42,124.42,7752500
22,"Nov 23, 2020",117.43,120.52,117.27,120.09,120.09,5650400
23,"Nov 20, 2020",117.60,118.04,116.69,116.94,116.94,5024300
24,"Nov 19, 2020",116.54,117.45,115.89,117.18,117.18,3439600
25,"Nov 18, 2020",117.72,118.88,116.75,116.77,116.77,4606800
26,"Nov 17, 2020",117.60,118.54,117.07,117.70,117.70,4134500
27,"Nov 16, 2020",118.30,118.55,117.12,118.36,118.36,5293400
28,"Nov 13, 2020",115.19,117.37,115.01,116.85,116.85,4682600
29,"Nov 12, 2020",115.63,116.37,113.48,114.50,114.50,6498200
30,"Nov 11, 2020",118.12,118.35,116.22,117.20,117.20,4289600
31,"Nov 10, 2020",116.69,118.17,116.25,117.91,117.91,5622800
32,"Nov 09, 2020",117.88,119.74,115.27,115.53,115.53,8992200
33,"Nov 09, 2020",1.63 Dividend,1.63 Dividend,1.63 Dividend,1.63 Dividend,1.63 Dividend,1.63 Dividend
34,"Nov 06, 2020",115.08,115.10,113.39,114.04,112.41,5249200
35,"Nov 05, 2020",113.30,115.29,113.01,114.77,113.13,4902200
36,"Nov 04, 2020",112.33,113.91,111.16,111.90,110.30,5800100
37,"Nov 03, 2020",114.00,115.65,113.63,114.16,112.53,4204300
38,"Nov 02, 2020",112.65,113.83,112.25,112.91,111.30,5311500
39,"Oct 30, 2020",107.90,111.80,107.75,111.66,110.06,7921500
40,"Oct 29, 2020",107.25,109.64,106.55,108.91,107.35,6760200
41,"Oct 28, 2020",108.66,109.73,105.92,106.65,105.13,9427300
42,"Oct 27, 2020",112.15,112.22,110.03,110.56,108.98,5936100
43,"Oct 26, 2020",114.45,114.90,111.84,112.22,110.62,7203400
44,"Oct 23, 2020",116.50,116.62,115.53,116.00,114.34,3893400
45,"Oct 22, 2020",115.00,116.06,112.98,115.76,114.11,7855800
46,"Oct 21, 2020",116.66,117.69,114.79,115.06,113.42,9755300
47,"Oct 20, 2020",119.80,120.15,116.84,117.37,115.69,21501100
48,"Oct 19, 2020",126.80,127.35,125.08,125.52,123.73,7478700
49,"Oct 16, 2020",125.17,126.43,124.66,125.93,124.13,4710400
50,"Oct 15, 2020",124.08,125.22,123.85,124.89,123.10,3385300
51,"Oct 14, 2020",125.13,126.94,125.13,125.94,124.14,3730100
52,"Oct 13, 2020",126.57,127.15,124.46,125.10,123.31,5406100
53,"Oct 12, 2020",128.07,128.25,126.44,127.21,125.39,4635100
54,"Oct 09, 2020",132.00,132.00,127.60,127.79,125.96,8353700
55,"Oct 08, 2020",130.86,135.50,129.77,131.49,129.61,25288900
56,"Oct 07, 2020",122.67,124.39,122.32,124.07,122.30,2815400
57,"Oct 06, 2020",122.58,124.83,121.59,121.97,120.23,3872300
58,"Oct 05, 2020",121.84,122.75,121.05,122.01,120.27,3050500
59,"Oct 02, 2020",119.04,121.75,118.82,120.57,118.85,2925200
60,"Oct 01, 2020",122.36,123.30,120.36,121.09,119.36,3211700
61,"Sep 30, 2020",121.38,122.91,120.80,121.67,119.93,3261100
62,"Sep 29, 2020",121.41,122.19,120.21,120.94,119.21,2106600
63,"Sep 28, 2020",120.57,122.33,120.41,121.73,119.99,3509200
64,"Sep 25, 2020",117.60,119.41,116.94,118.95,117.25,2953700
65,"Sep 24, 2020",118.10,119.52,116.48,118.09,116.40,3546200
66,"Sep 23, 2020",120.80,121.59,118.43,118.83,117.13,3939400
67,"Sep 22, 2020",120.33,121.45,119.53,120.51,118.79,2957800
68,"Sep 21, 2020",120.48,120.70,118.58,120.25,118.53,5311400
69,"Sep 18, 2020",124.26,124.92,122.65,122.76,121.01,5391600
70,"Sep 17, 2020",122.62,125.55,121.97,124.92,123.13,3171300
71,"Sep 16, 2020",122.71,125.82,122.71,124.22,122.44,3788400
72,"Sep 15, 2020",122.82,123.40,122.24,122.44,120.69,2915200
73,"Sep 14, 2020",122.36,123.38,121.76,122.09,120.34,3641500
74,"Sep 11, 2020",121.39,122.70,120.73,121.46,119.72,3548100
75,"Sep 10, 2020",122.53,123.58,120.24,120.56,118.84,3978400
76,"Sep 09, 2020",122.13,123.70,121.29,122.26,120.51,3770700
77,"Sep 08, 2020",122.16,122.87,120.71,121.21,119.48,5210300
78,"Sep 04, 2020",124.35,125.35,121.24,122.30,120.55,6018200
79,"Sep 03, 2020",128.19,129.95,123.65,124.45,122.67,5716800
80,"Sep 02, 2020",123.72,128.70,123.58,128.18,126.35,6592400
81,"Sep 01, 2020",122.85,123.95,122.15,123.40,121.64,3155300
82,"Aug 31, 2020",125.25,125.25,123.03,123.31,121.55,4827900
