,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Dec 24, 2020",221.42,223.61,221.20,222.75,222.75,10550600
1,"Dec 23, 2020",223.11,223.56,220.80,221.02,221.02,18699600
2,"Dec 22, 2020",222.69,225.63,221.85,223.94,223.94,22612200
3,"Dec 21, 2020",217.55,224.00,217.28,222.59,222.59,37181900
4,"Dec 18, 2020",218.59,219.69,216.02,218.59,218.59,63354900
5,"Dec 17, 2020",219.87,220.89,217.92,219.42,219.42,32515800
6,"Dec 16, 2020",214.75,220.11,214.72,219.28,219.28,35023300
7,"Dec 15, 2020",215.17,215.42,212.24,214.13,214.13,27018100
8,"Dec 14, 2020",213.10,216.21,212.88,214.20,214.20,28798400
9,"Dec 11, 2020",210.05,213.32,209.11,213.26,213.26,30979400
10,"Dec 10, 2020",211.77,213.08,210.36,210.52,210.52,26733300
11,"Dec 09, 2020",215.16,215.23,211.21,211.80,211.80,32440600
12,"Dec 08, 2020",213.97,216.95,212.89,216.01,216.01,23284100
13,"Dec 07, 2020",214.37,215.54,212.99,214.29,214.29,24620000
14,"Dec 04, 2020",214.22,215.38,213.18,214.36,214.36,24666000
15,"Dec 03, 2020",214.61,216.38,213.65,214.24,214.24,25120900
16,"Dec 02, 2020",214.88,215.47,212.80,215.37,215.37,23724500
17,"Dec 01, 2020",214.51,217.32,213.35,216.21,216.21,30931300
18,"Nov 30, 2020",214.10,214.76,210.84,214.07,214.07,33064800
19,"Nov 27, 2020",214.85,216.27,214.04,215.23,215.23,14512200
20,"Nov 25, 2020",215.11,215.29,212.46,213.87,213.87,21012900
21,"Nov 24, 2020",209.59,214.25,208.86,213.86,213.86,33979700
22,"Nov 23, 2020",210.95,212.29,208.16,210.11,210.11,25683500
23,"Nov 20, 2020",212.20,213.29,210.00,210.39,210.39,22829100
24,"Nov 19, 2020",211.38,213.03,209.93,212.42,212.42,24792700
25,"Nov 18, 2020",213.65,215.17,210.93,211.08,211.08,28372800
26,"Nov 18, 2020",0.56 Dividend,0.56 Dividend,0.56 Dividend,0.56 Dividend,0.56 Dividend,0.56 Dividend
27,"Nov 17, 2020",216.10,217.68,214.08,214.46,213.90,24154100
28,"Nov 16, 2020",214.87,217.74,214.52,217.23,216.66,24953300
29,"Nov 13, 2020",216.36,217.42,214.16,216.51,215.94,18621100
30,"Nov 12, 2020",217.21,219.11,214.46,215.44,214.88,21593900
31,"Nov 11, 2020",212.39,218.04,212.20,216.55,215.98,29440800
32,"Nov 10, 2020",214.50,216.50,209.72,211.01,210.46,44045100
33,"Nov 09, 2020",224.44,228.12,217.88,218.39,217.82,44395000
34,"Nov 06, 2020",222.26,224.36,218.03,223.72,223.14,25231900
35,"Nov 05, 2020",222.04,224.12,221.15,223.29,222.71,36080100
36,"Nov 04, 2020",214.02,218.32,212.42,216.39,215.82,42311800
37,"Nov 03, 2020",203.89,208.12,203.12,206.43,205.89,27512000
38,"Nov 02, 2020",204.29,205.28,200.12,202.33,201.80,30842200
39,"Oct 30, 2020",203.50,204.29,199.62,202.47,201.94,36953700
40,"Oct 29, 2020",204.07,207.36,203.37,204.72,204.19,31432600
41,"Oct 28, 2020",207.67,208.84,202.10,202.68,202.15,51195600
42,"Oct 27, 2020",211.59,214.67,210.33,213.25,212.69,36700300
43,"Oct 26, 2020",213.85,216.34,208.10,210.08,209.53,37111600
44,"Oct 23, 2020",215.03,216.28,213.16,216.23,215.67,18879600
45,"Oct 22, 2020",213.93,216.06,211.70,214.89,214.33,22351500
46,"Oct 21, 2020",213.12,216.92,213.12,214.80,214.24,22724900
47,"Oct 20, 2020",215.80,217.37,213.09,214.65,214.09,22753500
