,Date,Open,High,Low,Close*,Adj Close**,Volume
0,"Dec 24, 2020",642.99,666.09,641.00,661.77,661.77,22865600
1,"Dec 23, 2020",632.20,651.50,622.57,645.98,645.98,33173000
2,"Dec 22, 2020",648.00,649.88,614.23,640.34,640.34,51716000
3,"Dec 21, 2020",666.24,668.50,646.07,649.86,649.86,58045300
4,"Dec 18, 2020",668.90,695.00,628.54,695.00,695.00,222126200
5,"Dec 17, 2020",628.19,658.82,619.50,655.90,655.90,56270100
6,"Dec 16, 2020",628.23,632.50,605.00,622.77,622.77,42095800
7,"Dec 15, 2020",643.28,646.90,623.80,633.25,633.25,45223600
8,"Dec 14, 2020",619.00,642.75,610.20,639.83,639.83,52040600
9,"Dec 11, 2020",615.01,624.00,596.80,609.99,609.99,46475000
10,"Dec 10, 2020",574.37,627.75,566.34,627.07,627.07,67083200
11,"Dec 09, 2020",653.69,654.32,588.00,604.48,604.48,71291200
12,"Dec 08, 2020",625.51,651.28,618.50,649.88,649.88,64265000
13,"Dec 07, 2020",604.92,648.79,603.05,641.76,641.76,56309700
14,"Dec 04, 2020",591.01,599.04,585.50,599.04,599.04,29401300
15,"Dec 03, 2020",590.02,598.97,582.43,593.38,593.38,42552000
16,"Dec 02, 2020",556.44,571.54,541.21,568.82,568.82,47775700
17,"Dec 01, 2020",597.59,597.85,572.05,584.76,584.76,40382800
18,"Nov 30, 2020",602.21,607.80,554.51,567.60,567.60,63003100
19,"Nov 27, 2020",581.16,598.78,578.45,585.76,585.76,37561100
20,"Nov 25, 2020",550.06,574.00,545.37,574.00,574.00,48930200
21,"Nov 24, 2020",540.40,559.99,526.20,555.38,555.38,53648500
22,"Nov 23, 2020",503.50,526.00,501.79,521.85,521.85,50260300
23,"Nov 20, 2020",497.99,502.50,489.06,489.61,489.61,32807300
24,"Nov 19, 2020",492.00,508.61,487.57,499.27,499.27,62475300
25,"Nov 18, 2020",448.35,496.00,443.50,486.64,486.64,78044000
26,"Nov 17, 2020",460.17,462.00,433.01,441.61,441.61,61188300
27,"Nov 16, 2020",408.93,412.45,404.09,408.09,408.09,26838600
28,"Nov 13, 2020",410.85,412.53,401.66,408.50,408.50,19771100
29,"Nov 12, 2020",415.05,423.00,409.52,411.76,411.76,19855100
30,"Nov 11, 2020",416.45,418.70,410.58,417.13,417.13,17357700
31,"Nov 10, 2020",420.09,420.09,396.03,410.36,410.36,30284200
